date,open,high,low,close,volume,mcap
6/27/2019,13017.12,13311.14,10491.85,11182.81,39977475222.63,198878940963.53
6/28/2019,11162.17,12445.18,10914.49,12407.33,35087757765.86,220681459665.93
6/29/2019,12400.76,12400.91,11508.38,11959.37,29923961127.78,212739713110.42
6/30/2019,11931.99,12178.38,10799.01,10817.16,27256473494.47,192442065810.22
7/1/2019,10796.93,11206.44,10089.31,10583.13,29378589324.45,188297637573.83
7/2/2019,10588.68,10912.19,9737.88,10801.68,31015895222.96,192206536805.97
7/3/2019,10818.16,11968.08,10818.16,11961.27,30796494293.77,212867079175.50
7/4/2019,11972.72,12006.08,11166.57,11215.44,25920294033.34,199617404431.54
7/5/2019,11203.10,11395.66,10874.96,10978.46,23838480210.05,195424678267.02
7/6/2019,10982.54,11620.97,10982.54,11208.55,21092024306.26,199546110914.43
7/7/2019,11217.62,11541.62,11148.80,11450.85,19369044276.90,203881891345.94
7/8/2019,11446.60,12345.83,11393.37,12285.96,23482551458.31,218778355444.31
7/9/2019,12284.33,12779.13,12233.26,12573.81,28167921522.62,223928128582.65
7/10/2019,12571.54,13129.53,11710.98,12156.51,33627574244.06,216515999522.30
7/11/2019,12139.71,12144.62,11158.92,11358.66,28595327690.10,202324174691.69
7/12/2019,11354.30,11905.49,11179.14,11815.99,23534692796.61,210494417831.88
7/13/2019,11813.13,11841.96,10908.48,11392.38,21042616383.56,202968191000.80
7/14/2019,11381.02,11451.20,10234.58,10256.06,22486000001.35,182741933551.73
7/15/2019,10257.84,11052.77,9992.01,10895.09,25384047206.61,194147627474.96
7/16/2019,10896.65,10996.63,9448.11,9477.64,24151199069.75,168908640950.35
7/17/2019,9471.21,9963.13,9163.13,9693.80,24569921548.67,172777250514.70
7/18/2019,9698.50,10736.84,9376.80,10666.48,25187024648.17,190129918120.93
7/19/2019,10653.96,10716.98,10229.63,10530.73,20727426309.59,187725578627.89
7/20/2019,10525.82,11048.66,10451.28,10767.14,20206615154.65,191963691255.28
7/21/2019,10777.53,10841.89,10389.60,10599.11,17130580467.04,188987475961.56
7/22/2019,10596.95,10651.79,10154.92,10343.11,16334414913.20,184443440747.99
7/23/2019,10346.75,10346.75,9883.60,9900.77,17851916994.61,176572890701.90
7/24/2019,9887.73,9908.80,9614.31,9811.93,17398734321.63,175005760793.92
7/25/2019,9809.10,10154.25,9773.96,9911.84,15821952090.47,176806451137.24
7/26/2019,9913.13,9916.52,9717.98,9870.30,14495714483.23,176085968354.27
7/27/2019,9871.16,10167.32,9411.52,9477.68,16817809536.37,169099540423.13
7/28/2019,9491.63,9575.55,9252.30,9552.86,13738687092.78,170461958073.99
7/29/2019,9548.18,9681.65,9472.95,9519.15,13791445323.24,169880343826.60
7/30/2019,9522.33,9701.76,9437.34,9607.42,13829811132.08,171472452506.05
7/31/2019,9604.05,10085.63,9598.10,10085.63,16631520647.75,180028959602.82
8/1/2019,10077.44,10446.92,9922.02,10399.67,17165337857.81,185653203391.50
8/2/2019,10402.04,10657.95,10371.01,10518.17,17489094081.70,187791090996.09
8/3/2019,10519.28,10946.78,10503.50,10821.73,15352685060.58,193233960601.29
8/4/2019,10821.63,11009.21,10620.28,10970.18,16530894786.81,195907875403.02
8/5/2019,10960.74,11895.09,10960.74,11805.65,23875988832.34,210848822060.36
8/6/2019,11811.55,12273.82,11290.73,11478.17,23635107659.81,205023347814.27
